DATE,LAUST400000000000003A
1976-01-01,5.6
1977-01-01,4.8
1978-01-01,3.3
1979-01-01,3.1
1980-01-01,4.1
1981-01-01,3.6
1982-01-01,6.1
1983-01-01,8.1
1984-01-01,6.8
1985-01-01,7.1
1986-01-01,8.3
1987-01-01,7.2
1988-01-01,6.3
1989-01-01,5.7
1990-01-01,5.4
1991-01-01,6.0
1992-01-01,5.9
1993-01-01,5.6
1994-01-01,5.3
1995-01-01,4.4
1996-01-01,4.0
1997-01-01,4.0
1998-01-01,4.1
1999-01-01,3.5
2000-01-01,3.0
2001-01-01,3.6
2002-01-01,4.6
2003-01-01,5.4
2004-01-01,4.7
2005-01-01,4.3
2006-01-01,3.9
2007-01-01,4.0
2008-01-01,3.6
2009-01-01,6.6
2010-01-01,6.5
2011-01-01,5.6
2012-01-01,5.1
2013-01-01,5.1
2014-01-01,4.3
2015-01-01,4.3
2016-01-01,4.6
2017-01-01,4.0
2018-01-01,3.3
2019-01-01,3.1
2020-01-01,6.2
2021-01-01,3.8
